"","post_num","id","age","sex","mani_check","forum","att1_mean","att2_mean","value","button","post_att","emo","ego","post","headline","post_att_r","att1_mean_c","post_att_r_c","conf","echo","z_scores"
"1","p10",13,22,"2","unbal","unbal",5.33333333333333,5.33333333333333,4,"dislike",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,0.417445191385221,-0.935532840588682,1.3529780319739,"hostile",0.41744519138522
"2","p10",167,22,"2","bal","bal",4.5,4.33333333333333,2,"like",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.00226872386622277,-0.935532840588682,0.93326411672246,"balanced",-0.00226872386622411
"3","p10",154,26,"2","bal","bal",4.33333333333333,4.16666666666667,2,"like",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.0862115069165117,-0.935532840588682,0.84932133367217,"balanced",-0.086211506916513
"4","p10",170,21,"1","unbal","unbal",3.66666666666667,2,1,"like",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.421982639117667,-0.935532840588682,0.513550201471016,"friendly",-0.421982639117668
"5","p10",153,25,"2","bal","bal",3,4,4,"dislike",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.757753771318822,-0.935532840588682,0.177779069269861,"balanced",-0.757753771318823
"6","p10",34,29,"2","unbal","unbal",5.83333333333333,5.5,4,"dislike",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,0.669273540536087,-0.935532840588682,1.60480638112477,"hostile",0.669273540536086
"7","p10",104,22,"2","bal","bal",2.66666666666667,2.16666666666667,4,"like",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.925639337419399,-0.935532840588682,0.00989350316928306,"balanced",-0.9256393374194
"8","p10",175,24,"2","bal","bal",8.33333333333333,8.5,4,"dislike",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,1.92841528629042,-0.935532840588682,2.8639481268791,"balanced",1.92841528629042
"9","p10",117,29,"2","unbal","unbal",3.16666666666667,4.16666666666667,2,"like",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,-0.673810988268533,-0.935532840588682,0.261721852320149,"friendly",-0.673810988268534
"10","p10",163,22,"1","bal","bal",9,9,5,"dislike",6.513761468,4.361111111,1," E: Meiner Meinung nach ist Alternativmedizin auch ohne Chemie und OPs eine dreiste Art, Geld zu machen. Da die Wirkung der Therapie oft erst spät eintritt und manchmal ganz ausbleibt, können sich über die Zeit enorme Kosten anstauen. Alternativmediziner betrügen ihre Patienten, indem sie egoistisch sehr teure Verfahren anbieten. ","Alternativmedizin ist Geldabzocke",1.486238532,2.26418641849157,-0.935532840588682,3.19971925908026,"balanced",2.26418641849157
